"strataID","BpS","SCLASS","YEAR","ew","MAP_ZONE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2011_Na0710412_fmi","Na0710412","C",2011,"eastside","OEC","fmi","Na0710412_fmi","C",1532.74634,83968.79057,13387.0888611733,11476.822470936,15297.3544956916,-9944.07613093597
"2011_Na0710412_fmi","Na0710412","C",2011,"eastside","OSW","fmi","Na0710412_fmi","C",866.45092,83968.79057,13387.0888611733,11476.822470936,15297.3544956916,-10610.371550936
"2011_Na0710412_fmi","Na0710412","C",2011,"westside","OWC","fmi","Na0710412_fmi","C",1354.38555,83968.79057,13387.0888611733,11476.822470936,15297.3544956916,-10122.436920936
"2011_Na0710412_fmi","Na0710412","C",2011,"westside","WNC","fmi","Na0710412_fmi","C",131.21305,83968.79057,13387.0888611733,11476.822470936,15297.3544956916,-11345.609420936
"2011_Na0710412_fmi","Na0710412","C",2011,"westside","WWC","fmi","Na0710412_fmi","C",3240.962335,83968.79057,13387.0888611733,11476.822470936,15297.3544956916,-8235.86013593597
"2011_Na0710412_fmi","Na0710412","D",2011,"eastside","OEC","fmi","Na0710412_fmi","D",468.586265,83968.79057,4136.59424708785,2947.37096832034,5325.81760982415,-2478.78470332034
"2011_Na0710412_fmi","Na0710412","D",2011,"eastside","OSW","fmi","Na0710412_fmi","D",323.139935,83968.79057,4136.59424708785,2947.37096832034,5325.81760982415,-2624.23103332034
"2011_Na0710412_fmi","Na0710412","D",2011,"westside","OWC","fmi","Na0710412_fmi","D",551.317205,83968.79057,4136.59424708785,2947.37096832034,5325.81760982415,-2396.05376332034
"2011_Na0710412_fmi","Na0710412","D",2011,"westside","WNC","fmi","Na0710412_fmi","D",30.468115,83968.79057,4136.59424708785,2947.37096832034,5325.81760982415,-2916.90285332034
"2011_Na0710412_fmi","Na0710412","D",2011,"westside","WWC","fmi","Na0710412_fmi","D",340.931535,83968.79057,4136.59424708785,2947.37096832034,5325.81760982415,-2606.43943332034
