"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","BPS_LLID"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,503.248561978604,"Na0210290_fwo_1801020604"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4045.33902748544,"Na0210290_fwo_1801020604"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,329.107933846658,"Na0210290_fwo_1801020606"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,612.865851349123,"Na0210290_fwo_1801020606"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,2144.42428991329,"Na0210290_fwo_1801020606"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,750.454140241151,"Na0210290_fwo_1801020606"
"Na0210350_fvg",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,370.816578830807,"Na0210350_fvg_17070105B"
"Na0210350_fvg",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,118.075787810035,"Na0210350_fvg_17070105B"
"Na0210350_fvg",1,"B","C","Thin / low fire","None",1,0,0,2.16691726883471,"Na0210350_fvg_17100301"
"Na0210350_fvg",2,"E","D","Thin / low fire","None",1,0,0,90.7475407692222,"Na0210350_fvg_17100301"
"Na0210350_fvg",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,54.503377989907,"Na0210350_fvg_17100301"
"Na0210350_fvg",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,13.8317861730665,"Na0210350_fvg_17100301"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,1.46193755049281,"Na0710270_fdd_1710030101"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,3.25405242508259,"Na0710270_fdd_1710030101"
"Na0710270_fdd",6,"B","A","Regen / high fire","None",1,0,0,0.60286398126018,"Na0710270_fdd_1710030101"
"Na0710270_fdd",13,"B","E","Grow w/o fire","None",0,0,1,1.64287454148853,"Na0710270_fdd_1710030101"
"Na0710270_fdd",1,"B","C","Thin / low fire","None",1,0,0,80.2981943781909,"Na0710270_fdd_1710030102"
"Na0710270_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,194.622460779275,"Na0710270_fdd_1710030102"
